HDIF,CAD,-113335000
HHLE,CAD,-23219000
HTAE,CAD,-20841000
HUTE,CAD,-21436000
HBIE,CAD,-3098000
AMHE,USD,-19667000
LLHE,USD,-34045000
MSHE,USD,-18866000
NVHE,USD,-37269000
METE,USD,-20362000
PLTE,USD,-27007000
TSLY,USD,-45387000
AMDY,USD,-16531000
AVGY,USD,-19145000
CNYE,USD,-11190000
COSY,USD,-15596000
GOGY,USD,-20998000
MSTE,USD,-55289000
NFLY,USD,-12620000
HBIX,USD,-7544000
HBTE,USD,-8208000
APLE,USD,-17585000
HHIC,CAD,-40873000
AEME,CAD,-3312000
BCEE,CAD,-2354000
CCOE,CAD,-4113000
CNQE,CAD,-1646000
ENBE,CAD,-1688000
RYHE,CAD,-943000
SHPE,CAD,-3769000
SUHE,CAD,-722000
TEHE,CAD,-1643000
TDHE,CAD,-981000
RDDY,USD,-6338000
HODY,USD,-5777000
CRCY,USD,-7372000
SOFY,USD,-7730000
CRWY,USD,-6463000
NOVY,USD,-506000
BLKY,USD,-565000
JNJY,USD,-371000
JPHE,USD,-441000
ORCY,USD,-841000
HPYE,CAD,-100000
HPYE,USD,90000
