Ticker,Date,FUND_NET_ASSET_VAL
HBFE CN Equity,2023-11-29,9.9392
HLFE CN Equity,2023-11-29,9.3465
HBFE CN Equity,2024-01-31,10.2467
HLFE CN Equity,2024-01-31,9.7403
HBFE CN Equity,2024-03-27,10.3814
HLFE CN Equity,2024-03-27,9.8582
HBFE CN Equity,2023-02-27,10.1471
HLFE CN Equity,2023-02-27,10.5365
HBFE CN Equity,2024-04-30,10.0726
HLFE CN Equity,2024-04-30,9.6532
HBFE CN Equity,2024-03-28,10.4467
HLFE CN Equity,2024-03-28,9.9536
HBFE CN Equity,2024-02-29,10.3269
HLFE CN Equity,2024-02-29,9.688
HBFE CN Equity,2023-03-30,10.2184
HLFE CN Equity,2023-03-30,10.1572
HBFE CN Equity,2022-10-28,10.4188
HLFE CN Equity,2022-10-28,10.3083
HBFE CN Equity,2023-10-30,9.3213
HLFE CN Equity,2023-10-30,8.8099
HBFE CN Equity,2023-09-28,9.6866
HLFE CN Equity,2023-09-28,9.3163
HBFE CN Equity,2023-07-28,10.621
HLFE CN Equity,2023-07-28,10.2169
HBFE CN Equity,2023-05-30,10.0448
HLFE CN Equity,2023-05-30,10.0828
HBFE CN Equity,2022-11-29,10.5278
HLFE CN Equity,2022-11-29,10.5089
HBFE CN Equity,2024-05-31,10.1245
HLFE CN Equity,2024-05-31,9.8614
HBFE CN Equity,2022-12-29,10.1411
HLFE CN Equity,2022-12-29,10.1136
HBFE CN Equity,2024-04-29,10.2072
HLFE CN Equity,2024-04-29,9.716
HBFE CN Equity,2023-01-30,10.4571
HLFE CN Equity,2023-01-30,10.8148
HBFE CN Equity,2023-08-30,10.2007
HLFE CN Equity,2023-08-30,9.8563
HBFE CN Equity,2023-12-28,10.3163
HLFE CN Equity,2023-12-28,9.7661
HBFE CN Equity,2024-02-21,10.3713
HLFE CN Equity,2024-02-21,9.7183
HBFE CN Equity,2024-02-28,10.3072
HLFE CN Equity,2024-02-28,9.6329
HBFE CN Equity,2023-06-29,10.3468
HLFE CN Equity,2023-06-29,9.9196
HBFE CN Equity,2023-04-27,10.3852
HLFE CN Equity,2023-04-27,10.6053
HBFE CN Equity,2024-01-30,10.4081
HLFE CN Equity,2024-01-30,9.817
